original_trip_id,origin_lat,origin_lon,dest_lat,dest_lon,bike_duration,bike_distance,walktransit_duration,walktransit_distance,n_segments_walktransit,modes_used_walktransit,multimodal_duration,multimodal_distance,n_segments_multimodal,modes_used_multimodal
7471FA5AD800D708,42.365110278,-71.102996349,42.354979,-71.063348,33.9,4324,12.7,3951,3,WALK + SUBWAY,19.1,4580,5,BICYCLE + BUS + WALK + SUBWAY
74A0E5C193A2BDE0,42.394137502,-71.111535311,42.380078,-71.090098,18,2918,22.7,3587,3,WALK + TRAM,18,2918,1,BICYCLE
74A5E1FCE6CA7456,42.3625,-71.08822,42.3695529775651,-71.0857901498093,6.1,955,15.6,1034,1,WALK,6.1,955,1,BICYCLE
74C6A416A2FD38E3,42.351058006,-71.073417664,42.3375860109724,-71.0962709784508,27.5,3237,10.9,2519,2,WALK + BUS,12.7,2548,3,BICYCLE + BUS + WALK
75090332D4A6B49A,42.3688440828983,-71.0397782921791,42.3741062204733,-71.032762527575,4.7,916,10,1411,3,WALK + SUBWAY,4.7,916,1,BICYCLE
750A695DD56257EC,42.3607028354884,-71.055249273777,42.374878467441,-71.0638349876717,21.1,2222,12.1,2254,2,WALK + BUS,19.4,2262,3,BICYCLE + BUS + WALK
752ED93964008CC8,42.3742671352493,-71.100264787674,42.3495894236824,-71.0794677917329,41.8,4720,29.2,6682,6,WALK + BUS + SUBWAY + TRAM,26.8,4978,5,BICYCLE + BUS + WALK + TRAM
7537C9EF347D85A0,42.3670740714909,-71.0767927765846,42.372076579154,-71.0899543390588,15.6,1776,19.2,2457,2,WALK + BUS,12.2,1661,3,BICYCLE + BUS + WALK
755A68B9BAE987EC,42.370769262,-71.104299545,42.3607929685827,-71.0711896233715,26.2,3793,18.1,3723,5,WALK + BUS + SUBWAY,16.6,3707,3,BICYCLE + SUBWAY + WALK
75AC5251C0B6BF0A,42.3595732010904,-71.1012947559357,42.3690356659483,-71.0863095991044,15.2,2464,23.4,2274,3,WALK + BUS,15.2,2464,1,BICYCLE
75AF84407C38E46E,42.383011699,-71.12425375,42.3515966246532,-71.0756166279316,50.5,8104,40.3,9684,6,WALK + BUS + SUBWAY + TRAM,36.4,8778,5,BICYCLE + SUBWAY + WALK + TRAM
75B82919B15B0B2E,42.344792,-71.044024,42.3515860011985,-71.0456925630569,11.7,1191,13.6,1385,3,WALK + BUS,11.7,1191,1,BICYCLE
75C5286F7D235830,42.336310387,-71.087941766,42.3446506288783,-71.0973250122697,12.3,1725,20.1,1764,3,WALK + BUS,12.3,1725,1,BICYCLE
75C6ED76C63BC3A0,42.3346289305598,-71.1040791776759,42.3488038228339,-71.0823690891266,27.4,3563,15.5,2974,3,WALK + BUS,17.1,3003,3,BICYCLE + BUS + WALK
75DAA701B6378268,42.3481,-71.03764,42.3481,-71.03764,0.1,80,0.3,80,1,WALK,0.1,80,1,BICYCLE
75EF6DDF40EE4162,42.3607929685827,-71.0711896233715,42.363045496267,-71.0828707891687,6.2,1107,8.7,1490,3,WALK + SUBWAY,6.2,1107,1,BICYCLE
76011C5F1EBAADD5,42.387995,-71.119084,42.396969,-71.123024,13.5,1488,5.9,1207,3,WALK + SUBWAY,13.5,1488,1,BICYCLE
7618AF8509B24061,42.3607929685827,-71.0711896233715,42.351356,-71.059367,21.3,2005,14.5,2042,3,WALK + SUBWAY,21.3,2005,1,BICYCLE
7623B8CF3DDF359E,42.3375948503386,-71.0825505852836,42.3446506288783,-71.0973250122697,14.2,2044,21.8,4248,4,WALK + BUS,14.2,2044,1,BICYCLE
7626B90E7605D7F4,42.307852242385,-71.0651224851608,42.339858271263,-71.1342117109598,65.9,9328,49.8,8827,6,WALK + BUS,47.9,8940,6,BICYCLE + BUS + WALK
7631AC93059836A0,42.300923,-71.114249,42.280728147169,-71.1342375727327,25.9,3877,8.4,3002,3,WALK + BUS,11.5,2992,3,BICYCLE + BUS + WALK
764230B7BEEA3225,42.396386809455,-71.1201130600603,42.392525,-71.105587,6.8,1299,18.1,2140,3,WALK + BUS,6.8,1299,1,BICYCLE
765F783018BA636C,42.3730797979349,-71.0863423366573,42.339202,-71.090511,42.7,4799,42,7222,5,WALK + BUS + TRAM,25.6,5056,7,BICYCLE + BUS + WALK + TRAM
76644F3095A29D67,42.3495440311425,-71.0724207387284,42.339194,-71.06975,18.3,1912,13.9,1714,3,WALK + BUS,11.6,1723,3,BICYCLE + BUS + WALK
76662878DF92D041,42.3508268066909,-71.0898108780384,42.3446506288783,-71.0973250122697,14.2,1595,18.1,1095,1,WALK,14.2,1595,1,BICYCLE
766C0E083D43D31E,42.340835,-71.0816197,42.3495440311425,-71.0724207387284,12.5,1763,15.1,1761,3,WALK + SUBWAY,12.5,1763,1,BICYCLE
767B114AAAAB48D9,42.3477634541475,-71.0453599691391,42.3488102618827,-71.041677440553,8.7,948,8,588,1,WALK,8.7,948,1,BICYCLE
7682A20EA7213EC8,42.3346289305598,-71.1040791776759,42.341814,-71.090179,14.9,1848,11.3,1707,3,WALK + BUS,12.9,1736,3,BICYCLE + BUS + WALK
76C207529523B021,42.3499282823006,-71.0773920686643,42.341814,-71.090179,14.1,1830,10.2,1766,3,WALK + BUS,14.1,1830,1,BICYCLE
76D4A8682451D8BB,42.3499282823006,-71.0773920686643,42.326599,-71.066498,26.2,3510,16.7,3774,3,WALK + BUS,18.9,3402,3,BICYCLE + BUS + WALK
77260A4F85FCED87,42.362843513,-71.05611968,42.344796,-71.031614,31.8,3996,15.8,3655,3,WALK + BUS,18,3619,3,BICYCLE + BUS + WALK
7749C3A62D9A2E36,42.361519337,-71.137711287,42.372969,-71.094445,31.6,5081,27.7,4739,5,WALK + BUS,31.6,5081,1,BICYCLE
776D5DEAAE5E121E,42.354916096,-71.063638449,42.3465200399841,-71.0806577654512,21.2,1986,13.2,1968,5,WALK + TRAM + BUS,21.2,1986,1,BICYCLE
776EF73BDAAB627A,42.3743392537052,-71.1196643114636,42.3856757875291,-71.114121362989,14.4,1983,16,2242,3,WALK + BUS,14.4,1983,1,BICYCLE
77789C14EAA96533,42.3613583766225,-71.0967027397783,42.348717,-71.085954,22.8,2357,12.7,2170,3,WALK + BUS,19.8,3464,3,BICYCLE + BUS + WALK
77A61E495E218E83,42.344792,-71.044024,42.352409,-71.062679,20.5,2631,21.5,2381,3,WALK + BUS,20.5,2631,1,BICYCLE
77AB912E6074831B,42.371141,-71.076198,42.3695529775651,-71.0857901498093,8.2,1176,12.6,1079,3,WALK + BUS,8.2,1176,1,BICYCLE
77AFFDCC530388F3,42.366426,-71.105495,42.3313701680432,-71.1268836054569,42.7,5932,19.8,5905,4,WALK + BUS + TRAM,19.5,5950,5,BICYCLE + BUS + WALK + TRAM
77C6479A4977C385,42.350380898,-71.108279943,42.352261,-71.123831,12.1,1498,3.3,1428,2,WALK + BUS,8.5,1356,3,BICYCLE + BUS + WALK
77E1973B0753F8AF,42.369931,-71.073526,42.3719772596339,-71.0758584738323,3.2,448,6.4,402,1,WALK,3.2,448,1,BICYCLE
77FC979891738995,42.347432375,-71.086767793,42.3446506288783,-71.0973250122697,10.5,1289,16.8,1027,1,WALK,10.5,1289,1,BICYCLE
7809694F60CFC222,42.3508268066909,-71.0898108780384,42.36507,-71.1031,24.8,2048,10,2260,2,WALK + BUS,16,2777,3,BICYCLE + BUS + WALK
78268527E53FCA70,42.387000084,-71.075804591,42.3622417865092,-71.0831107199192,31.8,4837,32.9,5479,3,WALK + BUS,31.8,4837,1,BICYCLE
783B6980A2CC2236,42.3556012132793,-71.1039447784424,42.3624278429124,-71.0849547386169,14.3,2274,12.9,2275,3,WALK + BUS,14.3,2274,1,BICYCLE
785C9DB71D42E715,42.3922328400463,-71.0774660110474,42.386844,-71.09812,19.9,2863,27.6,3293,4,SUBWAY + WALK + BUS,19.9,2863,1,BICYCLE
788BE129B96E07E2,42.371864676,-71.072139621,42.3624278429124,-71.0849547386169,13.4,2008,24.1,5200,4,WALK + SUBWAY,13.4,2008,1,BICYCLE
789AE80F0FCAA263,42.363871,-71.050877,42.357143,-71.050699,11,1029,13.9,841,1,WALK,11,1029,1,BICYCLE
78A802E9131E3C1D,42.33392270137,-71.1044650898293,42.341814,-71.090179,17.3,1876,12.8,1749,3,WALK + BUS,14.5,1767,3,BICYCLE + BUS + WALK
78DF187C5625C095,42.335741,-71.03877,42.362811,-71.056067,38.5,4511,27.4,6182,6,WALK + BUS + SUBWAY,27.1,4954,7,BICYCLE + BUS + WALK + SUBWAY + TRAM
78E8D20EED942DF6,42.357143,-71.050699,42.351356,-71.059367,15.5,1318,18,1143,1,WALK,15.5,1318,1,BICYCLE
7913B35116E5EDA9,42.3436658245146,-71.0858237743378,42.347241,-71.105301,14.8,2319,20.5,2583,3,WALK + TRAM,14.8,2319,1,BICYCLE
7915164DEE5A57E3,42.3474062052521,-71.0867841495565,42.341598,-71.123338,27.6,3737,17.6,3273,3,WALK + TRAM,23.3,3535,3,BICYCLE + TRAM + WALK
793A101498EE7105,42.3474062052521,-71.0867841495565,42.3604177463717,-71.0575224354398,36.9,4442,18.2,3343,3,WALK + TRAM,21.1,3644,3,BICYCLE + TRAM + WALK
793CABCF1FAE1FC5,42.3508268066909,-71.0898108780384,42.3461970765555,-71.1072868108749,18.7,1985,13.1,1695,3,WALK + TRAM,13.2,2200,3,BICYCLE + TRAM + WALK
79504591B8846F66,42.5218928411025,-70.8806911110878,42.5223714,-70.8903331,7.3,992,17.6,1049,1,WALK,7.3,992,1,BICYCLE
